experiment_name,method_name,response_window,delivery_window_extension,resource_count,order_density_ratio,acceptance_rate,acceptance_rate_gap_to_0_80,on_time_rate,on_time_rate_gap_to_0_50,late_orders,average_lateness,max_lateness,total_energy_consumption,total_flight_distance,hard_constraint_violations,reached_80_acceptance,reached_50_on_time,reached_both_targets,recommendation
resource_count_1,tail_risk_constrained_joint_beam,original,0.0,1,1.0,0.5244444444444445,0.27555555555555555,0.3241525423728814,0.17584745762711862,319,12.837166596299626,35.93654589246437,112.03286860151536,1650.194940149784,0,False,False,False,anchor_locked_safety_reference
resource_count_2,raw_baseline,original,0.0,2,1.0,0.5233333333333333,0.2766666666666667,0.43312101910828027,0.06687898089171973,267,8.772947855610623,24.502936276203023,129.26070172793044,2118.368284985423,0,False,False,False,below_target
resource_count_2,v2_repair_only,original,0.0,2,1.0,0.5122222222222222,0.2877777777777778,0.455531453362256,0.04446854663774402,251,9.3258970549623,27.654202195775277,127.30403554465589,2101.324746967984,0,False,False,False,below_target
resource_count_2,oracle_best_acceptance,original,0.0,2,1.0,0.5855555555555556,0.21444444444444444,0.42125237191650855,0.07874762808349145,305,14.582384409433534,46.41401839816349,141.10382617499548,2456.257016250623,0,False,False,False,below_target
resource_count_2,oracle_best_on_time,original,0.0,2,1.0,0.5533333333333333,0.2466666666666667,0.4779116465863454,0.022088353413654616,260,16.488598514169936,53.01577741019282,141.88399748322882,2455.232236610485,0,False,False,False,below_target
resource_count_2,tail_risk_constrained_joint_beam,original,0.0,2,1.0,0.5233333333333333,0.2766666666666667,0.43312101910828027,0.06687898089171973,267,8.772947855610623,24.502936276203023,129.26070172793044,2118.368284985423,0,False,False,False,anchor_locked_safety_reference
resource_count_3,raw_baseline,original,0.0,3,1.0,0.5144444444444445,0.28555555555555556,0.5075593952483801,-0.0075593952483801186,228,6.652369101642007,23.016011159182366,134.75915028151255,2343.3147889897227,0,False,True,False,on_time_target_only
resource_count_3,v2_repair_only,original,0.0,3,1.0,0.5122222222222222,0.2877777777777778,0.5292841648590022,-0.029284164859002204,217,8.0180936419785,29.824717268071353,134.11076382878278,2375.300751104951,0,False,True,False,on_time_target_only
resource_count_3,oracle_best_acceptance,original,0.0,3,1.0,0.6044444444444445,0.1955555555555556,0.49080882352941174,0.009191176470588258,277,11.485710360192028,41.62230254068694,156.0395632046091,2863.940765030682,0,False,False,False,below_target
resource_count_3,oracle_best_on_time,original,0.0,3,1.0,0.5477777777777778,0.25222222222222224,0.5578093306288032,-0.057809330628803224,218,12.609474568334882,41.8379467180463,150.39582125391155,2688.8244003280997,0,False,True,False,on_time_target_only
resource_count_3,tail_risk_constrained_joint_beam,original,0.0,3,1.0,0.5144444444444445,0.28555555555555556,0.5075593952483801,-0.0075593952483801186,228,6.652369101642007,23.016011159182366,134.75915028151255,2343.3147889897227,0,False,True,False,anchor_locked_safety_reference
resource_count_4,raw_baseline,original,0.0,4,1.0,0.52,0.28,0.5833333333333334,-0.08333333333333337,195,6.136051113915219,18.849369853412405,142.5754490993103,2514.241100870073,0,False,True,False,on_time_target_only
resource_count_4,v2_repair_only,original,0.0,4,1.0,0.5266666666666666,0.27333333333333343,0.5907172995780591,-0.09071729957805907,194,6.448056923787963,20.368561335496835,143.25067700057645,2558.1463084742427,0,False,True,False,on_time_target_only
resource_count_4,oracle_best_acceptance,original,0.0,4,1.0,0.5877777777777777,0.2122222222222223,0.5500945179584121,-0.05009451795841213,238,9.5109779824974,31.620355832003327,149.6998799658435,2838.9245427772403,0,False,True,False,on_time_target_only
resource_count_4,oracle_best_on_time,original,0.0,4,1.0,0.5644444444444444,0.23555555555555563,0.5984251968503937,-0.09842519685039375,204,10.162795686553942,38.44972845531028,162.8671374826049,2982.714444130659,0,False,True,False,on_time_target_only
resource_count_4,tail_risk_constrained_joint_beam,original,0.0,4,1.0,0.52,0.28,0.5833333333333334,-0.08333333333333337,195,6.136051113915219,18.849369853412405,142.5754490993103,2514.241100870073,0,False,True,False,anchor_locked_safety_reference
resource_count_5,raw_baseline,original,0.0,5,1.0,0.5244444444444445,0.27555555555555555,0.614406779661017,-0.11440677966101698,182,5.7019964801585425,27.35454596736929,142.17370654487064,2624.392169870436,0,False,True,False,on_time_target_only
resource_count_5,v2_repair_only,original,0.0,5,1.0,0.53,0.27,0.6121593291404612,-0.11215932914046123,185,5.809515849397745,25.09315709632955,143.76382786419205,2658.85210826993,0,False,True,False,on_time_target_only
